BARCODE,Item #,Item Type,Category,PP Deck (Y/N),Ownership,Condition,SKU,DONATION FY26 (Y/N),Notes,Availability,Retail($),Cost($),Dest (Y/N),RETAIL YEAR
6317499,,CAMBRIDGE LARGE SMOKE BELL PENDANT NB (SHADE) / RL5103NB-CG / GOES WITH ASSET 6315082,Lighting,,,,42556829,,,0,3909.0,830.855,Y,2012.0
6317902,,MODERN METROPOLIS BEDSIDE CHEST,Furniture,,polo,Display,43652056,,,Sellable,10195.0,1607.9166666666667,Y,2020.0
6318423,,PARKER SIDE TABLE STAINLESS STEEL,Furniture,,,Display,,,,0,0.0,0.0,,
6318466,,DALTON UPHOLSTERED SIDE DINING CHAIR,Furniture,,,Display,,,,0,0.0,0.0,,
6318572,,MODERN HURRICANE SCONE,Lighting,,,,38842670,,,0,900.0,198.215,Y,2019.0
6318575,,ANETTE DOUBLE SCONCE NB / RL2252NB,Lighting,,,,42556357,,,0,879.0,195.02166666666665,Y,2011.0
6318577,,ANETTE DOUBLE SCONCE NB / RL2252NB,Lighting,,,,42556357,,,0,879.0,195.02166666666665,Y,2011.0
6318580,,BARTON DESK LAMP NB / RL3031NBEC-NB,Lighting,,,,44263630,,,0,1915.0,361.18,Y,2021.0
6318581,,BARTON DESK LAMP NB / RL3031NBEC-NB,Lighting,,,,44263630,,,0,1915.0,361.18,Y,2021.0
6318582,,BLEECKER TABLE LAMP,Lighting,,,,,,,0,0.0,0.0,Y,
6318616,,BLEECKER TABLE LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6318751,,BARRETT KNURLED FLOOR LAMP W/ SHADE,Lighting,,,,42485292,,,0,2389.0,451.58,Y,2019.0
6318752,,BARRET KNURLED SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6318759,,FELIX X BASE TABLE LAMP PN (BASE) / RL3473CGPN-P / (SHADE) IS ASSET 006318760,Lighting,,,,42557637,,,0,1709.0,384.91333333333336,Y,2019.0
6318760,,FELIX X BASE TABLE LAMP (SHADE) / RL3473CGPN-P / (BASE) IS ASSET 006318759,Lighting,,,,,,,0,0.0,0.0,Y,
6318818,,HEIRESS DOUBLE PEDESTAL TABLE TOP LEAFS,Furniture,,polo,Display,,,,0,0.0,0.0,,
6318862,,RIVINGTON SHIELD SCONCE BZ / RL2066BZ,Lighting,,,,42485698,,,0,799.0,207.31,Y,2019.0
6318864,,ALLEN TABLE LAMP PN (BASE) / RL3082PN-WP,Lighting,,,,42485201,,,0,1075.0,250.526,Y,2019.0
6318871,,NOLAN LOFT FLOOR LAMP BLK (BASE)  / RL1151BLK-P / (SHADE) IS ASSET 006318878,Lighting,,,,42508614,,,0,1199.0,383.94,Y,2019.0
6318877,,DUCHESS SALON CHAIR,Furniture,,polo,Display,45261377,,,Sellable,6603.0,1590.0,Y,2020.0
6318878,,NOLAN LOFT FLOOR LAMP BLK (SHADE) / RL1151BLK-P / (BASE) IS ASSET 6318871,Lighting,,,,42508614,,,0,1199.0,383.94,Y,2019.0
6318921,,3 PILLOW CASES,Furniture,,Visual,Display,,, ,Sellable,0.0,0.0,,
6318973,,ELLIS TABLE LAMP PN (BASE) / RL3966PN-Q-P,Lighting,,,,42485490,,,0,2639.0,678.8733333333333,Y,2019.0
6318974,,ANETTE TL PN,Lighting,,,,41194374,,,0,750.0,147.42,Y,2018.0
6318975,,ANETTE TL PN SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
6318986,,RL ''67 SWING ARM WALL LAMP BRONZE,Lighting,,,,45273109,,,0,769.0,143.98,Y,2011.0
6320877,,EQUILIBRIUM FLOOR LAMP PN RL11170PN,Lighting,,,,42557488,,,0,1619.0,362.78066666666666,Y,2013.0
6320878,,UPTON LARGE SCONCE,Lighting,,,,42559633,,,0,929.0,154.18,Y,2012.0
6320921,,FAIRFIELD PHARMACY FLOOR LAMP PN / RL11165PN,Lighting,,,,42522060,,,0,1039.0,228.5257894736842,Y,2011.0
7000016,,PRYCE CLUB CHAIR RLU3043-37,Furniture,,,Display,,,,0,0.0,0.0,,
7000017,,PRYCE CLUB CHAIR RLU3043-37,Furniture,,,Display,,,,0,0.0,0.0,,
7000024,,EDWARDIAN BOOKCASE,Furniture,,polo,Display,42448449,,,Sellable,14486.0,3746.25,,2019.0
7000028,,SADLER COCKATIL OTTOMAN,Furniture,,polo,Display,45261143,,,Sellable,0.0,0.0,,
7000031,,COLORADO CLUB CHAIR,Furniture,,Polo,Display,75138123,,,Sellable,8327.0,3634.0,,2024.0
7000094,,CANNES GUERIDON TABLE,Furniture,,polo,Display,44719144,,,Sellable,5320.0,1350.752,,2020.0
7000113,,MATTRESS,Prop,,,,,,,0,0.0,0.0,,
7000114,,BOX SPRING,Prop,,,,,,,0,0.0,0.0,,
7000133,,RL 67 BOOM ARM FLOOR LAMP BZ / RL14028BZ,Lighting,,,,42508622,,,0,1305.0,416.06,Y,2019.0
7000155,,RL 67 SWING ARM WALL LAMP BZ / RL14030BZ,Lighting,,,,45273109,,,0,769.0,143.98,Y,2011.0
7000156,,RL 67 SWING ARM WALL LAMP BZ / RL14030BZ,Lighting,,,,45273109,,,0,769.0,143.98,Y,2011.0
7000161,,QUINCY FLOOR LAMP VO (SHADE) / RL1716VO-WP / (BASE) IS ASSET 006303559,Lighting,,,,35768159,,,0,0.0,0.0,Y,2017.0
7000165,,WHITE SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
7000167,,MAYFAIR OCCASIONAL CHAIR,Furniture,,,Display,,,,0,0.0,0.0,,
7000170,,NOLAN LOFT FLOOR LAMP BLK (BASE) / RL1151BLK-P / (SHADE) IS ASSET 007000171,Lighting,,,,42508614,,,0,1199.0,383.94,Y,2019.0
7000171,,NOLAN LOFT FLOOR LAMP BLK (SHADE) / RL1151BLK-P / (BASE) IS ASSET 007000170,Lighting,,,,42508614,,,0,1199.0,383.94,Y,2019.0
7000175,,Beckford Table Lamp RL 3467BZ,Lighting,,,,42508507,,,0,1209.0,302.685,Y,2016.0
7000176,,WARNER PHARMACY FLOOR LAMP PN /  RL1145CG-PN,Lighting,,,,42559682,,,0,2079.0,480.8066666666667,Y,2024.0
7000185,,PRYCE CLUB CHAIR,Furniture,,polo,Display,44075349,,,Sellable,5031.0,1083.75,,2020.0
7000236,,PARKER SIDE TABLE,Furniture,,polo,Display,44044147,,,Sellable,3495.0,967.5,,2020.0
7000382,,WOVEN OTTOMAN,Furniture,,,Display,,,,0,0.0,0.0,,
7000420,,PRYCE CLUB CHAIR,Furniture,,polo,Display,76866490,,,Sellable,13189.0,3768.75,,2024.0
7000427,,LAWSON UPHOLSTERED CHAIR / RLU39500-27,Furniture,,polo,Display,7454493,,,Sellable,0.0,0.0,Y,
7000437,,QUEEN MATTRESS,Prop,,,,,,,0,0.0,0.0,,
7000508,,MODERN HOLLYWOOD OTTOMAN,OTTOMAN,,,,,,,Available,,,,
7000565,,FAIRFIELD PHARMACY FLOOR LAMP,Lighting,,,,42522060,,,0,1039.0,228.5257894736842,Y,2011.0
7000569,,MODERN TABLE LAMP,Lighting,,,,42558775,,,0,1279.0,268.19217391304346,Y,2012.0
7000597,,THAYER BED BENCH QUEEN,Furniture,,,Display,,,,0,0.0,0.0,Y,
7000619,,ROARK RECTANGULAR CHANDELIER`,Lighting,,,,42559435,,,0,2309.0,432.78,Y,2015.0
7000686,,ANNETEE DOUBLE SCONCE IN NB,Lighting,,,,42556357,,,0,879.0,195.02166666666665,Y,2011.0
7000687,,ANNETEE DOUBLE SCONCE IN NB,Lighting,,,,42556357,,,0,879.0,195.02166666666665,Y,2011.0
7000688,,ANNETEE DOUBLE SCONCE IN NB,Lighting,,,,42556357,,,0,879.0,195.02166666666665,Y,2011.0
7000689,,ANNETEE DOUBLE SCONCE IN NB,Lighting,,,,42556357,,,0,879.0,195.02166666666665,Y,2011.0
7000690,,BASALT HALL TABLE BLACK BASE,Furniture,,polo,Display,,,,Sellable,0.0,0.0,Y,
7000694,,ANNETTE 16'' PICTURE LIGHT IN NB,Lighting,,,,42485219,,,0,745.0,223.21333333333334,Y,2019.0
7000700,,PERRIN SIDE TABLE,Furniture,,polo,Display,43520535,,,Sellable,4295.0,862.25,,2019.0
7000708,,DARIEN LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
7000709,,DARIEN LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
7000711,,DARIEN FLOOR LAMP,Lighting,,,,,,,0,0.0,0.0,Y,
7000713,,DARIEN LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
7000714,,DARIEN LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
7000716,,RIVINGTON SHIELD SCONCE,Lighting,,,,42508341,,,0,799.0,231.4425,Y,2019.0
7000717,,BARRETT KNURLED LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
7000719,,EQUILIBRIUM FLOOR LAMP,Lighting,,,,42557488,,,0,1619.0,362.78066666666666,Y,2013.0
7000720,,EQUILIBRIUM FLOOR LAMP,Lighting,,,,42557488,,,0,1619.0,362.78066666666666,Y,2013.0
7000779,,RIVINGTON MEDIUM PENDANT,Lighting,,,,44261501,,,0,5529.0,1037.58,Y,2016.0
7000794,,HALIFAX LARGE TABLE LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
7000798,,MODERN TABLE LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
7000799,,MODERN TABLE LAMP SHADE,Lighting,,,,,,,0,0.0,0.0,Y,
7000835,,MODERN TABLE LAMP IN POLISHED SILVER,Lighting,,,,42558775,,,0,1279.0,268.19217391304346,Y,2012.0
7000929,,MODERN TABLE LAMP IN PS,Lighting,,,,42558775,,,0,1279.0,268.19217391304346,Y,2012.0
7001147,,BASALT HALL TABLE BLACK,Furniture,,polo,Display,43614585,,,Sellable,6595.0,1929.8125,Y,2020.0
7001153,,ALASTAIR DINING ARM CHAIR,Furniture,,Polo,Display,45261138,,,Sellable,4052.0,1446.0,Y,2020.0
7001158,,WARNER CHAIR,Furniture,,polo,Display,44036069,,,Sellable,3795.0,918.75,,2020.0
7001162,,FALAISE DOUBLE SCONCE,Lighting,,,,75090845,,,0,1799.0,416.6033333333333,Y,2023.0
7001166,,"ANNETTE 16"" PICTURE LIGHT",Lighting,,,,42485219,,,0,745.0,223.21333333333334,Y,2019.0
7001167,,RLâ€™67 SWING ARM FLOOR LAMP,Lighting,,,,34569624,,,0,1619.0,342.595,Y,2010.0
7001168,,ELLIS BEDSIDE LAMP,Lighting,,,,42485490,,,0,2639.0,678.8733333333333,Y,2019.0
7001169,,SHADE FOR RL3965,Lighting,,,,,,,0,0.0,0.0,Y,
7001170,,GARNER TABLE LAMP,Lighting,,,,42557959,,,0,0.0,0.0,Y,2011.0
7001172,,LAYNE TORHCIERE FLOOR LAMP,Lighting,,,,,,,0,0.0,0.0,Y,
7001174,,ELLIS BEDSIDE TABLE LAMP,Lighting,,,,42485490,,,0,2639.0,678.8733333333333,Y,2019.0
7001175,,ELLIS BEDSIDE  TABLE LAMP SHADE RL3965PN,Lighting,,,,,,,0,0.0,0.0,Y,
7001176,,EVANS DOUBLE SCONE,Lighting,,,,,,,0,0.0,0.0,Y,
7001179,,ADRIANNA MEDIUM CHANGELIER,Lighting,,,,26793299,,,0,9969.0,1879.58,Y,2011.0
7001179,,,Lighting,,,,,,,,,,Y,
7001180,,RL 67' SWING ARM FLOOR LAMP NB,Lighting,,,,42559260,,,0,1217.75,258.1175,Y,2011.0
7001183,,WESTBURY MIRRORED SCONCE,Lighting,,,,43587096,,,0,1089.0,238.97,Y,2024.0
7001184,,ISLA SMALL TABLE LAMP,Lighting,,,,41834680,,,0,1260.0,291.96,Y,2019.0
7001186,,VARICK TABLE LAMP NB W/ SHADE,Lighting,,,,42485755,,,0,1139.0,307.235,Y,2019.0
