"BARCODE","AVAILABILITY","DESCRIPTION","DEPARTMENT","TYPE","IMAGES","CONDITION","COLOR","DIMENSIONS","TAGS","CONDITION CHECKS","RESERVED WBS","LOCATION","ORIGINAL ACQUISITION VALUE","HISTORY","HOME WAREHOUSE","CONTAINER","LAST SEEN IN CONTAINER","BARCODE IMAGES","ASSET USAGE","SIDEMARK ROOM"
"=""006300338""","Available","HOLLIS FLOOR LAMP RL1130NB-L","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1734711603110/1734711515291.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006300338.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006300338 (2).JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1734711600068/1734711560662.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1734711606163/1734711519646.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1734711609062/1734711525709.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1734711612119/1734711531816.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1734711615210/1734711539896.jpg","COMES WITH ROUND SHADE  AND TWO LIGHT BULBS. MULTIPLE MINOR MARKS THROUGHOUT LAMP. ( SHADE : HAS VISABLE DENTS. TOP COMES OFF SHADE.","NATURAL BRASS","11 x 11 x 36 Inches","","",,"LIC",,"History","LIC","W01-14-05-AA","Thu, Apr 3, 2025 1:54 PM","006300338","","888 STOCK / RL113ONB-L"
"=""007001915""","Available","BROOKINGS LARGE TABLE LAMP","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1736341873708/1736341593559.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1695655379754/1695655372045.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1695655380737/1695655378569.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1736341874642/1736341632589.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1736341875541/1736341649235.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1736341876447/1736341687118.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1736341877321/1736341716316.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1736342430647/1736342394453.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1736342431616/1736342428037.jpg","MINOR MARKS.","POLISHED NICKEL AND CRYSTAL","10 x 10 x 26 Inches","","",,"LIC",,"History","LIC","W01-14-04-BB","Thu, Apr 3, 2025 1:54 PM","007001915","","HOME FA23 888 / RL3920CG"
"=""007001914""","Available","MODERN TABLE LAMP IN POLISH SILVER","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1736346179314/1736345149280.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1736346180295/1736345168788.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_1_1695655169490/1695655141643.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1695655170489/1695655162032.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1695655171541/1695655167113.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1736346181206/1736345192025.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1736346182082/1736345207904.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1736346182979/1736345221168.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_9_1736346183932/1736346102932.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_10_1736346184901/1736346129454.jpg","MINOR SCRATCHES TO THE LAMP GOES WITH SHADE: 007001913","POLISHED NICKEL","9 x 9 x 20 Inches","","",,"LIC",,"History","LIC","W01-14-04-BB","Thu, Apr 3, 2025 1:53 PM","007001914","","HOME FA23 888/ RL11167PS"
"=""006310372""","Available","WILLOUGHBY MEDIUM PICTURE LIGHT IN BRONZE/RL2697BZ","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006310372.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006310372 (2).JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006310372 (3).JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006310372 (4).JPG","SCRATCHES AND TAPE MARKS","BRONZE","18 x 4 x 10.5 Inches","","",,"LIC",,"History","LIC","W01-13-01-AA","Thu, Apr 3, 2025 1:53 PM","006310372","","888 STOCK"
"=""007002990""","Available","FOO DOG MEDIUM LAMPSHADE","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1725651643831/1725651483943.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1724688775294/IMG_3327.jpeg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1725651644782/1725651495310.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1725651645651/1725651528291.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1725651646714/1725651573024.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1725651647658/1725651633055.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1735584150765/1735584011532.jpg","MINOR MARK","WHITE","21 x 21 x 11 Inches","","","E-99999.01500.NY","LIC",,"History","LIC","W01-14-03-AA","Thu, Apr 3, 2025 1:53 PM","007002990","","SP24 CHANGOVER / 888 STOCK"
"=""006297782""","Available","FAIRFIELD PHARMACY FLOOR LAMP","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1735575140728/1735574933613.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/20180501_130749_resized.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1735575139834/1735574891495.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1735575141631/1735574971183.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1735575142669/1735574988086.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1735575143523/1735575013269.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1735575144407/1735575025029.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1735575145344/1735575048995.jpg","TARNISHED WITH MINOR MARKS AND FINGERPRINTS","NATURAL BRASS","11 x 11 x 58 Inches","","",,"LIC",,"History","LIC","W01-14-05-BB","Thu, Apr 3, 2025 1:53 PM","006297782","","888 STOCK / SWING SHOP"
"=""007003128""","Available","HALIFAX LARGE TABLE LAMP","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1725549027510/1725549007951.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/_1724878412710/image.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1725549030604/1725549010913.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1725549033610/1725549014324.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1725549036735/1725549019221.jpg","COMES WITH LIGHTBULB. MISSING HARP AND FANAIL. SMALL SCRATCHES TOP LAMP BRASS HOLDER.","Blue","14 x 14 x 36.25 Inches","","",,"LIC",,"History","LIC","W01-14-03-AA","Thu, Apr 3, 2025 1:53 PM","007003128","","SP24 CHANGOVER / 888 STOCK"
"=""006315084""","Available","BARRET LG KNURLED FLOOR LAMP SHADE","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1734373506352/1734373347169.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006315084.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1734373507299/1734373374091.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1734373508258/1734373393513.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1734373509216/1734373404024.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1734373510239/1734373456763.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1734373511275/1734373488199.jpg","MINOR SCRATCHES AND FINGERPRINTS","POLISHED NICKEL","12.5 x 12.5 x 64 Inches","","",,"LIC",,"History","LIC","W01-13-01-AA","Thu, Apr 3, 2025 1:52 PM","006315084","","RL1090-PN-L / 888 STOCK / FA20 CHANGEOVER"
"=""006310373""","Available","EVANS LIBRARY SCONCE IN BZ W/PERCALL SHADE /RL2004BZ-P","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006310373.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_2_1734645647157/1734644648198.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1734645648114/1734644677721.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1734645649081/1734644718721.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1734645650051/1734644764739.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1734645650923/1734645142050.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_7_1734645652107/1734645279937.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_8_1734645653115/1734645598890.jpg","MINOR SCRATCHES","BRONZE","6.5 x 2.5 x 6 Inches","","",,"LIC",,"History","LIC","W01-13-05-AA","Thu, Apr 3, 2025 1:51 PM","006310373","","888 STOCK"
"=""006311505""","Available","17x18x13.5L (LAMP SHADE)","Home 888 Madison","Home-LIGHTING","https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006311505.JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/006311505 (2).JPG,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_3_1734617333556/1734617089299.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_4_1734617334509/1734617120862.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_5_1734617335543/1734617163129.jpg,https://flo-rlassets.s3.eu-west-1.amazonaws.com/live/image_6_1734617336478/1734617201660.jpg","MINOR MARKS AND LOOSE PLASTIC WRAPPING ON THE SHADE","WHITE","18 x 18 x 13.5 Inches","","",,"LIC",,"History","LIC","W01-13-03-CC","Thu, Apr 3, 2025 1:40 PM","006311505","","888 STOCK"
