Receiving Report #,Item #,Item Type,Category,PP Deck (Y/N),Ownership,Condition,SKU,DONATION FY26 (Y/N),Notes,Availability, Retail($) ,Cost($),,Dest (Y/N),RETAIL YEAR
006309536,,RL ''67 BOOM ARM WALL LAMP IN NB/14029BN,Lighting,,,,42559351,,,0, $769 , $188 ,, Y ,2010
006309537,,RL ''67 BOOM ARM WALL LAMP IN NB/14029BN,Lighting,,,,42559351,,,0, $769 , $188 ,, Y ,2010
007002578,,BARRAGAN STRIPE RUG,Rug,,,,,,,0, $-   , $-   ,,,#N/A
007002579,,SAGAPONECK STRIPE RUG,Rug,,,,,,,0, $-   , $-   ,,,#N/A
007002580,,SAGAPONECK STRIPE RUG,Rug,,,,,,,0, $-   , $-   ,,,#N/A
007002581,,SAGAPONECK STRIPE RUG,Rug,,,,,,,0, $-   , $-   ,,,#N/A
007001180,,RL 67' SWING ARM FLOOR LAMP NB,Lighting,,,,42559260,,,0," $1,218 ", $258 ,, Y ,2011
007001207,,RL 67' SWING ARM WALL LAMP,Lighting,,,,42559351,,,Sellable, $769 , $188 ,, Y ,2010
006318986,,RL ''67 SWING ARM WALL LAMP BRONZE,Lighting,,,,45273109,,,0, $769 , $144 ,, Y ,2011
007000155,,RL 67 SWING ARM WALL LAMP BZ / RL14030BZ,Lighting,,,,45273109,,,0, $769 , $144 ,, Y ,2011
007000156,,RL 67 SWING ARM WALL LAMP BZ / RL14030BZ,Lighting,,,,45273109,,,0, $769 , $144 ,, Y ,2011
007002593,,RL67' BOOM ARM FLOOR LAMP,Lighting,,,,34569624,,,0," $1,619 ", $343 ,, Y ,2010
007002596,,RL67' BOOM ARM FLOOR LAMP,Lighting,,,,34569624,,,0," $1,619 ", $343 ,, Y ,2010
007001167,,RLâ€™67 SWING ARM FLOOR LAMP,Lighting,,,,34569624,,,0," $1,619 ", $343 ,, Y ,2010
007000619,,ROARK RECTANGULAR CHANDELIER`,Lighting,,,,42559435,,,0," $2,309 ", $433 ,, Y ,2015
007001559,,ROBERSTON CHANDELIER,Lighting,,,,41086695,,,0," $3,600 ", $565 ,, Y ,2018
006314453,,ROUND LINE SHADE FOR RL1090,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
007002292,,ROUND LINEN SHADE FOR RL3622,Lighting,,,Display,,,,0, $-   , $-   ,, Y ,#N/A
006316637,,ROUND SHADE,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006316639,,ROUND SHADE,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006316640,,ROUND SHADE,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006316641,,ROUND SHADE,Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
006311504,,ROUND SHADE (LAMP SHADE),Lighting,,,,,,,0, $-   , $-   ,, Y ,#N/A
